ZIP,TRACT,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
94951,6097151311,PENNGROVE,CA,0.0914235959947758,0.025380710659898477,0.0,0.08484609313338595
94951,6097150607,PENNGROVE,CA,0.32128863735306923,0.8730964467005076,0.075,0.36029992107340175
94951,6097151205,PENNGROVE,CA,0.4040052242054854,0.07614213197969544,0.85,0.3855564325177585
94951,6097150612,PENNGROVE,CA,0.037004788855028295,0.0,0.0,0.033543804262036306
94952,6097151100,PETALUMA,CA,0.13053082535644955,0.015492253873063468,0.08021390374331551,0.11502097902097902
94952,6097150800,PETALUMA,CA,0.14204431354173638,0.029985007496251874,0.10802139037433155,0.12772027972027972
94952,6097151205,PETALUMA,CA,0.010375527143717785,0.001999000499750125,0.016042780748663103,0.009734265734265734
94952,6097150702,PETALUMA,CA,0.14994310194792154,0.005497251374312844,0.0213903743315508,0.12704895104895106
94952,6097151000,PETALUMA,CA,0.10054220496686525,0.09995002498750624,0.06203208556149733,0.09846153846153846
94952,6097151206,PETALUMA,CA,0.002075105428743557,0.0,0.0,0.0017342657342657342
94952,6097150612,PETALUMA,CA,0.0007363277327799718,0.004497751124437781,0.0,0.0011188811188811189
94952,6097150901,PETALUMA,CA,0.16192516232679563,0.1889055472263868,0.27058823529411763,0.17062937062937064
94952,6097153501,PETALUMA,CA,0.0054220496686525205,0.0004997501249375312,0.0010695187165775401,0.0046433566433566435
94952,6097150701,PETALUMA,CA,0.16266149005957561,0.6156921539230384,0.386096256684492,0.22506293706293706
94952,6097153502,PETALUMA,CA,0.00910368833255238,0.0004997501249375312,0.0010695187165775401,0.0077202797202797204
94952,6041133000,PETALUMA,CA,0.016533904545150278,0.0034982508745627187,0.0021390374331550803,0.014321678321678322
94952,6097150902,PETALUMA,CA,0.10810629894905951,0.033483258370814596,0.051336898395721926,0.09678321678321679
94953,6097150701,PETALUMA,CA,1.0,1.0,1.0,1.0
94954,6097150607,PETALUMA,CA,0.11929735877669657,0.25828220858895706,0.17235772357723578,0.13363953295335068
94954,6097150602,PETALUMA,CA,0.09825603437381523,0.0036809815950920245,0.04065040650406504,0.08776492723147584
94954,6097150603,PETALUMA,CA,0.22829521041324402,0.12392638036809817,0.1902439024390244,0.2175861878147308
94954,6097150601,PETALUMA,CA,0.0985087830152913,0.011042944785276074,0.0975609756097561,0.09058712854850312
94954,6097151309,PETALUMA,CA,6.318716036901302e-05,0.0,0.0,5.5337280726025124e-05
94954,6097150100,PETALUMA,CA,0.0005054972829521042,0.0006134969325153375,0.0016260162601626016,0.0005533728072602513
94954,6097150609,PETALUMA,CA,0.1398331858966258,0.23558282208588957,0.2032520325203252,0.15062807813624038
94954,6097150612,PETALUMA,CA,0.12005560470112474,0.2754601226993865,0.18536585365853658,0.13629572242819987
94954,6097151205,PETALUMA,CA,0.0005054972829521042,0.07116564417177915,0.05365853658536585,0.008687953073985944
