Fast Food Name,ZipCode,State
Wendy's,91731,CA
Wienerschnitzel,91733,CA
McDonald's,91733,CA
Carl's / Green Burrito,91737,CA
McDonald's,91741,CA
Del Taco,91741,CA
Yoshinoya,91744,CA
Burger King,91746,CA
KFC,91748,CA
Pizza Hut,91750,CA
Rubio's,91750,CA
Del Taco,91752,CA
Baker's Drive Thru,91761,CA
McDonald's,91761,CA
Del Taco,91762,CA
KFC,91766,CA
Wendy's,91766,CA
McDonald's,91767,CA
Carl's Jr,91767,CA
Taco Bell,91767,CA
Taco Bell,91776,CA
Arby's,91786,CA
Pizza Hut,91789,CA
Pizza Hut,91789,CA
McDonald's,91791,CA
Bamboo Bistro,91792,CA
McDonald's,91792,CA
Quiznos Sub,91801,CA
Jack in the Box,91910,CA
McDonald's,91911,CA
Islands Restaurant,91915,CA
Carl's Jr.,91932,CA
Chick-Fil-A,91942,CA
McDonald's,91942,CA
SUBWAY,91942,CA
KFC,91945,CA
Jack in the Box,91950,CA
McDonald's,91950,CA
El Pollo Loco,92011,CA
McDonald's,92014,CA
Boston Market,92020,CA
McDonald's,92020,CA
Taco Bell,92020,CA
McDonald's,92020,CA
McDonald's,92021,CA
Jack in the Box,92021,CA
Round Table Pizza,92026,CA
Mc Donalds,92028,CA
Jacks Grocery,92036,CA
McDonald's,92054,CA
Sonic Drive-in (trailer),92055,CA
Del Taco,92056,CA
McDonald's,92056,CA
KFC,92071,CA
Subway,92078,CA
Jack in the Box,92081,CA
McDonald's,92083,CA
Subway,92083,CA
Carl's Jr. / Green Burrito,92083,CA
Jack in the Box,92102,CA
Burger King,92102,CA
McDonald's,92104,CA
McDonald's,92105,CA
Del Taco,92108,CA
KFC,92109,CA
Pizza Hut,92110,CA
Arby's,92111,CA
Burger King,92113,CA
McDonald's,92117,CA
McDonald's,92118,CA
Subway,92120,CA
Pizza Hut,92120,CA
McDonald's,92121,CA
Panda Express,92123,CA
Wendy's,92123,CA
McDonald's,92126,CA
Wendy's,92128,CA
Wendy's,92131,CA
Mcdonald's,92136,CA
Carl's Jr.,92154,CA
Jack in the Box,92173,CA
Taco Bell,92203,CA
KFC,92203,CA
KFC,92203,CA
Del Taco,92211,CA
Carl's Jr.,92220,CA
Jack in the Box,92220,CA
Wendy's,92223,CA
El Pollo Loco,92223,CA
KFC,92234,CA
Jack in the Box,92234,CA
El Pollo Loco,92234,CA
McDonalds,92236,CA
Carl's Jr.,92236,CA
McDonald's,92243,CA
Del Taco,92253,CA
Del Taco,92262,CA
Del Taco,92262,CA
Carl's Jr.,92262,CA
Carl's Jr.,92262,CA
Taco Bell,92262,CA
McDonald's,92262,CA
McDonald's,92307,CA
Jack in the Box,92309,CA
Arby's,92309,CA
McDonald's,92311,CA
McDonald's,92325,CA
McDonald's,92325,CA
Jack in the Box,92336,CA
In-N-Out Burger,92345,CA
Jack in the Box,92346,CA
Taco Bell,92346,CA
Taco Bell,92363,CA
Jack in the Box,92373,CA
Del Taco,92373,CA
McDonald's,92373,CA
Jack in the Box,92373,CA
Nick's Burgers,92373,CA
Wendy's,92373,CA
El Pollo Loco,92376,CA
Jack in the Box,92376,CA
LocoL,90002,CA
Subway,90006,CA
Burger King,90006,CA
SUBWAY®,90006,CA
Jack in the Box,90007,CA
Pete's Burgers,90007,CA
Rally's,90008,CA
Jack in the Box,90011,CA
